State,Year,Month,Indicated,Combined_Value
Alabama,2019,1.0,Depression,17.752808988764045
Alabama,2019,2.0,Depression,23.15653298835705
Alabama,2019,3.0,Depression,21.352785145888596
Alabama,2019,4.0,Depression,25.627240143369175
Alabama,2019,5.0,Depression,24.22360248447205
Alabama,2019,6.0,Depression,20.92130518234165
Alabama,2019,7.0,Depression,23.466257668711656
Alabama,2019,8.0,Depression,23.1496062992126
Alabama,2019,9.0,Depression,25.899280575539567
Alabama,2019,10.0,Depression,24.3006993006993
Alabama,2019,11.0,Depression,22.621184919210055
Alabama,2019,12.0,Depression,23.44213649851632
Alabama,2020,1.0,Depression,24.767225325884542
Alabama,2020,2.0,Depression,24.061433447098977
Alabama,2020,3.0,Depression,22.845417236662108
Alabama,2020,4.0,Anxiety,25.6
Alabama,2020,4.0,Depression,21.32835616438356
Alabama,2020,5.0,Anxiety,26.175
Alabama,2020,5.0,Depression,25.224505649717514
Alabama,2020,6.0,Anxiety,32.5
Alabama,2020,6.0,Depression,25.622531152647976
Alabama,2020,7.0,Anxiety,36.4
Alabama,2020,7.0,Depression,24.960820969337288
Alabama,2020,8.0,Anxiety,30.6
Alabama,2020,8.0,Depression,25.7275366568915
Alabama,2020,9.0,Anxiety,31.3
Alabama,2020,9.0,Depression,24.69978043912176
Alabama,2020,10.0,Anxiety,32.599999999999994
Alabama,2020,10.0,Depression,27.627820512820513
Alabama,2020,11.0,Anxiety,36.3
Alabama,2020,11.0,Depression,27.330606936416185
Alabama,2020,12.0,Anxiety,39.1
Alabama,2020,12.0,Depression,25.59762677484787
Alabama,2021,1.0,Anxiety,36.7
Alabama,2021,1.0,Depression,25.91519788918206
Alabama,2021,2.0,Anxiety,32.55
Alabama,2021,2.0,Depression,21.66774193548387
Alabama,2021,3.0,Anxiety,31.450000000000003
Alabama,2021,3.0,Depression,23.54772277227723
Alabama,2021,4.0,Anxiety,28.950000000000003
Alabama,2021,4.0,Depression,19.11090909090909
Alabama,2021,5.0,Anxiety,25.75
Alabama,2021,5.0,Depression,22.52484076433121
Alabama,2021,6.0,Anxiety,27.7
Alabama,2021,6.0,Depression,22.690232558139538
Alabama,2021,7.0,Anxiety,29.9
Alabama,2021,7.0,Depression,18.97566265060241
Alabama,2021,8.0,Anxiety,30.4
Alabama,2021,8.0,Depression,21.162175572519086
Alabama,2021,9.0,Anxiety,28.933333333333334
Alabama,2021,9.0,Depression,21.092465753424655
Alabama,2021,10.0,Depression,23.785166240409207
Alabama,2021,11.0,Depression,23.036649214659686
Alabama,2021,12.0,Anxiety,26.85
Alabama,2021,12.0,Depression,25.19071428571429
Alabama,2022,1.0,Anxiety,30.4
Alabama,2022,1.0,Depression,24.887637795275594
Alabama,2022,2.0,Depression,17.45562130177515
Alabama,2022,3.0,Anxiety,24.299999999999997
Alabama,2022,3.0,Depression,24.93355191256831
Alabama,2022,4.0,Anxiety,27.4
Alabama,2022,4.0,Depression,24.99208955223881
Alabama,2022,5.0,Depression,20.0
Alabama,2022,6.0,Anxiety,31.4
Alabama,2022,6.0,Depression,21.153809523809525
Alabama,2022,7.0,Anxiety,38.8
Alabama,2022,7.0,Depression,26.38447236180905
Alabama,2022,8.0,Depression,23.415977961432507
Alabama,2022,9.0,Anxiety,34.6
Alabama,2022,9.0,Depression,24.382857142857144
Alabama,2022,10.0,Anxiety,30.2
Alabama,2022,10.0,Depression,23.608531855955675
Alabama,2022,11.0,Anxiety,32.4
Alabama,2022,11.0,Depression,26.477624190064798
Alabama,2022,12.0,Anxiety,32.2
Alabama,2022,12.0,Depression,20.88467966573816
Alabama,2023,1.0,Anxiety,33.0
Alabama,2023,1.0,Depression,22.924089935760172
Alabama,2023,2.0,Anxiety,30.5
Alabama,2023,2.0,Depression,22.806326530612246
Alabama,2023,3.0,Anxiety,31.6
Alabama,2023,3.0,Depression,24.42294979079498
Alabama,2023,4.0,Anxiety,30.6
Alabama,2023,4.0,Depression,21.90809523809524
Alabama,2023,5.0,Depression,21.052631578947366
Alabama,2023,6.0,Anxiety,28.200000000000003
Alabama,2023,6.0,Depression,33.932307692307695
Alabama,2023,7.0,Anxiety,30.7
Alabama,2023,7.0,Depression,21.869030837004406
Alabama,2023,8.0,Anxiety,26.3
Alabama,2023,8.0,Depression,24.314587973273944
Alabama,2023,9.0,Anxiety,34.0
Alabama,2023,9.0,Depression,24.440709046454767
Alabama,2023,10.0,Anxiety,29.4
Alabama,2023,10.0,Depression,22.94385542168675
Alabama,2023,11.0,Depression,20.049504950495052
Alabama,2023,12.0,Depression,21.73913043478261
Alabama,2024,1.0,Anxiety,16.2
Alabama,2024,1.0,Depression,18.888195718654437
Alabama,2024,2.0,Anxiety,19.4
Alabama,2024,2.0,Depression,18.85
Alabama,2024,3.0,Anxiety,18.0
Alabama,2024,3.0,Depression,19.3
Alabama,2024,4.0,Anxiety,17.65
Alabama,2024,4.0,Depression,17.8
Alabama,2024,5.0,Anxiety,19.2
Alabama,2024,5.0,Depression,19.85
Alabama,2024,6.0,Anxiety,18.1
Alabama,2024,6.0,Depression,18.55
Alabama,2024,7.0,Anxiety,16.5
Alabama,2024,7.0,Depression,17.3
Alabama,2024,8.0,Anxiety,16.8
Alabama,2024,8.0,Depression,14.799999999999999
Alabama,2024,10.0,Depression,0.0
