date,always tired,am i depressed,chronic depression,clinical depression,crying for no reason,depression coping,depression diagnosis,depression diet,depression exercise,depression fatigue,depression in adults,depression in men,depression in women,depression insomnia,depression quiz,depression scale,depression screening,depression symptoms,depression test,depression weight loss,feeling empty,major depression,no motivation,seasonal depression,severe depression,signs of depression,sleeping too much
2020-02,85.57,22.86,28.14,55.0,74.0,86.8,22.0,77.0,72.5,89.5,59.2,75.67,54.29,76.0,13.43,86.83,66.17,85.0,54.0,81.0,72.33,73.0,23.14,68.86,49.0,47.57,20.57
2020-03,77.55,19.61,28.32,44.84,85.14,86.0,26.94,89.88,85.73,92.14,65.1,78.4,66.08,92.5,12.65,82.96,58.38,88.45,49.06,92.2,70.8,77.74,23.96,69.83,45.84,46.45,25.29
2020-04,81.1,19.87,26.56,46.33,80.38,83.89,23.73,82.71,86.18,77.33,67.5,77.68,76.82,84.92,13.67,72.59,56.43,85.37,58.07,77.92,77.27,80.7,34.7,50.55,43.27,44.43,35.27
2020-05,84.23,20.71,27.93,49.35,78.95,80.12,22.44,84.38,82.87,86.73,59.06,78.08,76.37,90.42,12.6,76.14,70.67,84.26,62.65,76.76,75.71,75.03,29.58,55.41,49.65,44.81,27.76
2020-06,83.17,20.57,39.07,67.73,87.1,86.73,30.93,87.55,91.57,83.25,60.25,73.74,76.35,89.0,11.07,79.0,68.88,84.8,49.1,83.6,72.46,79.63,21.81,72.25,65.3,44.83,23.57
2020-07,87.52,21.94,41.67,61.77,74.04,92.12,30.93,97.0,84.44,91.89,60.67,77.65,76.76,93.44,12.43,69.21,62.79,84.84,53.77,70.85,71.14,73.52,21.33,41.0,63.87,49.74,24.43
2020-08,82.9,22.39,35.29,62.97,74.68,90.78,27.89,99.0,89.29,90.38,93.25,94.71,76.73,88.1,13.55,67.6,46.95,79.1,63.35,91.0,74.86,62.97,23.43,77.31,55.65,48.39,23.03
2020-09,85.03,20.33,36.08,65.77,75.04,83.4,28.0,89.2,74.94,78.75,70.64,76.83,53.62,90.44,11.47,78.07,69.86,89.73,49.57,84.69,80.67,79.9,26.55,74.97,56.37,44.87,23.97
2020-10,83.65,16.71,33.33,56.13,83.14,87.43,30.48,92.83,81.15,88.5,65.64,78.42,44.16,85.44,11.6,68.76,63.58,77.55,42.97,81.17,78.83,80.1,28.58,80.48,51.94,36.68,23.96
2020-11,79.83,15.83,31.67,48.73,73.41,85.2,28.76,81.2,93.0,91.17,58.55,72.77,35.76,89.67,11.03,75.83,59.5,74.0,46.9,78.83,80.67,73.2,30.83,73.43,49.7,35.2,25.75
2020-12,79.68,20.13,33.96,46.2,83.47,87.3,26.29,100.0,94.6,83.12,56.4,76.59,43.15,82.8,13.74,78.37,64.79,86.74,43.29,90.64,80.74,73.0,34.88,77.16,52.93,40.26,30.03
2021-01,87.35,21.26,35.46,54.29,71.65,91.5,26.36,91.0,98.0,91.2,64.75,79.38,49.62,95.0,13.71,84.95,74.57,89.1,46.58,81.86,82.86,73.19,29.0,73.4,59.26,41.84,28.87
2021-02,84.75,20.46,31.67,51.39,81.4,92.38,26.63,85.75,77.8,83.55,54.5,78.94,57.0,83.6,12.86,73.48,56.0,89.71,41.68,88.5,70.9,76.25,31.04,78.04,56.11,42.54,25.5
2021-03,88.0,18.03,28.07,45.17,81.57,80.89,27.52,74.86,91.2,78.8,58.57,78.33,66.32,87.33,12.69,72.3,62.71,86.9,39.65,88.0,76.7,79.84,29.27,62.43,48.35,37.9,22.39
2021-04,83.13,18.03,30.69,41.1,79.0,87.18,28.48,91.4,90.36,88.88,65.23,81.21,81.76,96.6,10.63,78.52,57.82,86.13,36.77,83.85,74.82,76.57,28.4,50.42,47.23,35.3,22.64
2021-05,82.32,19.26,28.75,43.26,79.86,89.11,24.0,98.0,94.67,92.44,55.5,79.73,73.21,87.0,10.57,75.06,63.0,89.19,38.19,89.25,74.12,71.61,23.8,46.0,46.77,38.29,20.87
